,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count
The Band,0.601,0.5958888888888889,0.03913333333333333,0.32852222222222227,0.0008050105555555554,0.19575555555555557,0.6895,0.5922222222222222,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5,18
Etta James,0.42069999999999996,0.3869,0.04407,0.6742999999999999,0.0014454390000000002,0.33984999999999993,0.45599999999999996,0.5900000000000001,3.6,0.5,2,0,0,1.0,4,5,20
Big Brother & The Holding Company,0.432,0.413,0.06420000000000001,0.34965,0.0043875,0.2085,0.4545,0.59,5.0,1.0,4,1,0,1.0,5,5,4
George Michael,0.7170000000000001,0.8370000000000001,0.0456,0.264,0.0,0.235,0.68,0.59,4.0,1.0,4,1,0,1.0,5,5,1
Chad Kroeger,0.595,0.8440000000000001,0.0331,0.0137,0.0,0.23399999999999999,0.603,0.59,4.0,0.5,7,1,0,1.0,6,6,2
The Product G&B,0.777,0.601,0.126,0.0406,0.00201,0.0348,0.68,0.59,4.0,0.5,2,1,0,1.0,5,5,2
Black Sabbath,0.3585,0.5451499999999999,0.05165000000000001,0.17573652,0.11781075000000003,0.11943999999999999,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5,20
Janis Joplin,0.4795999999999999,0.41079999999999994,0.10128,0.4305600000000001,0.03361516,0.19063000000000002,0.525,0.5879999999999999,4.3,0.5,4,1,0,1.0,4,5,20
Chuck Berry,0.6302000000000001,0.7685000000000002,0.09028,0.6996999999999998,0.00018536300000000002,0.15588000000000002,0.9156000000000001,0.584,2.8,0.5,7,1,0,1.0,8,5,20
Miles Davis,0.4965789473684212,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947366,0.1435684210526316,0.3307894736842105,0.5721052631578948,7.2631578947368425,0.5263157894736842,2,0,0,1.0,6,5,19
Todd Rundgren,0.723,0.672,0.0356,0.243,0.00373,0.299,0.958,0.57,4.0,0.5,7,1,0,1.0,6,5,2
Ray Charles,0.5064736842105264,0.44263157894736843,0.08537368421052631,0.7599473684210526,9.313473684210527e-05,0.1864157894736842,0.5588947368421053,0.5699999999999998,3.8947368421052633,0.5263157894736842,5,1,0,1.0,4,5,19
Ramones,0.4828,0.8683,0.08161000000000002,0.0457539,0.11131369100000003,0.11756000000000003,0.8154,0.5640000000000002,2.9,0.5,9,1,0,1.0,9,6,20
Nine Inch Nails,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.33006579999999996,0.23774,0.26251,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5,20
Disclosure,0.887,0.519,0.107,0.0344,0.223,0.157,0.652,0.56,3.0,1.0,7,1,0,1.0,5,5,1
Roxy Music,0.6001000000000001,0.6649,0.049400000000000006,0.25054499999999996,0.11731723999999999,0.14641,0.6338000000000001,0.558,4.6,0.5,0,1,0,1.0,7,5,20
Madonna,0.7225000000000001,0.7724444444444445,0.05397777777777778,0.17349555555555557,0.01911839,0.16297777777777778,0.6674444444444444,0.5572222222222223,4.777777777777778,0.5555555555555556,9,1,0,0.0,6,5,18
Cream,0.5008000000000001,0.5468000000000001,0.037779999999999994,0.29318,0.04552916,0.28895,0.5880000000000001,0.5539999999999999,4.1,0.5,0,1,0,1.0,5,5,20
Diana Ross,0.6338333333333331,0.6489999999999999,0.044994444444444455,0.24965555555555557,0.051682302222222226,0.1575,0.6147222222222223,0.5522222222222223,4.111111111111111,0.5555555555555556,5,1,0,0.0,5,5,18
June Carter Cash,0.6849999999999999,0.6386666666666666,0.0401,0.548,0.00022933333333333334,0.5133333333333333,0.797,0.5499999999999999,2.6666666666666665,0.6666666666666666,0,1,0,1.0,6,5,3
Johnny Cash,0.6176999999999999,0.4859,0.08109,0.5199699999999999,0.06834203999999999,0.3625300000000001,0.6476000000000001,0.5479999999999999,3.4,0.6,0,1,0,1.0,6,5,20
The Everly Brothers,0.5757000000000001,0.4109999999999999,0.034100000000000005,0.6653999999999999,0.000385507,0.17774,0.6672,0.547,2.0,0.5,7,1,0,1.0,5,5,20
Sly & The Family Stone,0.7634000000000001,0.5486000000000001,0.06877999999999998,0.33817100000000005,0.12285515,0.21664,0.7110000000000002,0.5459999999999999,4.0,0.5,10,1,0,1.0,5,5,20
Buddy Holly,0.5710999999999999,0.4276000000000001,0.032999999999999995,0.6415000000000001,0.034902629,0.16907000000000003,0.6648,0.545,2.3,0.5,9,1,0,1.0,6,5,20
James Brown,0.7317058823529412,0.6358235294117648,0.13490000000000002,0.39221176470588237,0.005987002941176471,0.3953294117647059,0.775,0.5429411764705881,4.294117647058823,0.5882352941176471,0,1,0,1.0,5,5,17
The Byrds,0.49700000000000005,0.5534,0.03871000000000001,0.29589999999999994,0.013849678,0.27643,0.634,0.54,2.8,0.5,7,1,0,1.0,6,5,20
Diana Ross & The Supremes,0.635,0.393,0.0428,0.394,0.0,0.255,0.4270000000000001,0.54,3.0,1.0,10,1,0,1.0,5,5,1
K-Ci & JoJo,0.828,0.81,0.101,0.121,3.02e-06,0.0495,0.838,0.54,5.0,0.5,8,1,1,0.0,5,6,2
Maná,0.6990000000000001,0.789,0.0285,0.13,0.287,0.0874,0.9620000000000001,0.54,5.0,0.5,11,0,0,1.0,6,5,2
Curtis Mayfield,0.6342999999999999,0.7079,0.06295,0.30876,0.06632519899999999,0.11363000000000001,0.7799,0.5359999999999999,5.3,0.5,11,0,0,1.0,6,5,20
Vince Gill,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
"""Keb Mo""",0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jimmy Hall,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Sam Moore,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Gregg Allman,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Warren Haynes,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Widespread Panic,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Taj Mahal,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Robert Randolph,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Susan Tedeschi,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Brantley Gilbert,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Zac Brown,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
John Hiatt,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Eric Church,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
The Staple Singers,0.557,0.752,0.0566,0.237,2.19e-06,0.124,0.687,0.53,5.0,0.5,9,1,0,1.0,4,5,2
Dr. John,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Martina McBride,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Pat Monahan,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jr.,0.5920000000000001,0.672,0.0278,0.7120000000000001,0.0,0.0659,0.887,0.53,3.0,1.0,1,1,0,1.0,7,5,1
Devon Allman,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Jackson Browne,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Trace Adkins,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Derek Trucks,0.303,0.741,0.0461,0.2,6.879999999999999e-05,0.909,0.312,0.53,9.0,1.0,7,1,0,1.0,6,5,1
Drifting Cowboys,0.7285,0.304,0.0329,0.7875,8.949999999999999e-06,0.0741,0.8009999999999999,0.525,3.0,0.5,7,1,0,1.0,7,5,4
Run–D.M.C.,0.8626111111111111,0.7115,0.14419444444444443,0.036686666666666666,0.01813504222222222,0.18796111111111113,0.709388888888889,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5,18
Bryan Adams,0.515,0.805,0.0345,0.00993,1.57e-05,0.419,0.743,0.52,3.0,1.0,5,1,0,1.0,5,6,1
Stephen Stills,0.825,0.639,0.18899999999999997,0.0736,0.0224,0.0612,0.866,0.52,5.0,0.5,4,1,1,1.0,5,5,2
Jason Nevins,0.848,0.893,0.0547,0.0111,0.324,0.27,0.655,0.51,4.0,0.5,1,1,0,1.0,6,5,2
Kendrick Lamar,0.635,0.8740000000000001,0.17600000000000002,0.156,0.0,0.245,0.632,0.51,5.0,1.0,4,0,1,1.0,4,6,1
Norah Jones,0.625,0.306,0.0285,0.6609999999999999,0.00169,0.0907,0.393,0.51,4.0,0.5,10,1,0,0.4,5,5,2
Ledisi,0.721,0.698,0.0677,0.0395,0.0025,0.502,0.795,0.51,6.0,0.5,1,1,0,1.0,5,5,2
Ice Cube,0.635,0.8740000000000001,0.17600000000000002,0.156,0.0,0.245,0.632,0.51,5.0,0.5,4,0,1,1.0,4,6,2
The Drifters,0.5801999999999999,0.502,0.040170000000000004,0.5653,1.8699e-05,0.19789000000000007,0.7977000000000001,0.5049999999999999,2.7,0.5,6,1,0,1.0,6,5,20
Public Enemy,0.7403333333333333,0.7519444444444445,0.2512444444444444,0.030177777777777772,0.0012449377777777777,0.26295555555555555,0.6644444444444443,0.5033333333333334,4.722222222222222,0.5555555555555556,11,1,0,0.8,5,5,18
Patti Smith,0.5215,0.6988,0.09376,0.13429399999999997,3.282000000000001e-05,0.13771,0.6164,0.5,4.7,0.5,9,1,0,1.0,7,5,20
Ricky Nelson,0.5811,0.4518,0.04573,0.51366,0.00189958,0.13456,0.7524000000000001,0.499,2.4,0.5,9,1,0,1.0,6,5,20
Frank Zappa,0.5111666666666665,0.6656666666666667,0.07507222222222223,0.1987777777777778,0.18190981111111112,0.24040000000000003,0.694888888888889,0.49833333333333335,5.222222222222222,0.5555555555555556,9,1,0,1.0,6,5,18
Hank Williams,0.5840526315789475,0.3530526315789474,0.03408421052631579,0.8294210526315787,0.00018611578947368422,0.1837315789473684,0.7157368421052631,0.4978947368421052,3.0,0.5789473684210527,7,1,0,1.0,8,5,19
Funkadelic,0.5253157894736843,0.6966315789473684,0.0781578947368421,0.30419789473684206,0.13581052631578946,0.2533368421052632,0.586,0.49526315789473685,5.105263157894737,0.5263157894736842,1,0,0,1.0,7,5,19
Elvis Costello,0.603529411764706,0.45376470588235296,0.04581176470588236,0.3266000000000001,0.0003718517647058823,0.17834117647058823,0.5520588235294116,0.49294117647058827,3.2941176470588234,0.5882352941176471,1,1,0,1.0,7,5,17
The Mothers,0.718,0.6829999999999999,0.0393,0.159,0.0,0.21,0.6629999999999999,0.49,4.0,0.5,1,0,0,1.0,6,5,2
Smokey Robinson,0.49131578947368415,0.47663157894736846,0.039,0.5811052631578948,0.049164032105263156,0.1445578947368421,0.6023684210526316,0.47473684210526323,4.947368421052632,0.5263157894736842,9,0,0,1.0,8,5,19
Muddy Waters,0.5416666666666666,0.4499238095238095,0.08204285714285713,0.6181333333333334,0.020892942857142854,0.27128571428571424,0.6638571428571429,0.47428571428571425,3.6666666666666665,0.5238095238095238,2,1,0,1.0,9,5,21
The Mothers Of Invention,0.311,0.775,0.076,0.506,0.0,0.897,0.477,0.46,6.0,0.5,2,1,0,1.0,6,5,2
Fats Domino,0.5792,0.621,0.04406,0.5606,0.09079417999999999,0.10810999999999997,0.8835,0.4590000000000001,2.3,0.5,11,1,0,1.0,6,5,20
"""Booker T. & the M.G.s""",0.6757,0.3682500000000001,0.04442,0.38268500000000005,0.7231,0.13607,0.6593999999999999,0.45199999999999996,3.5,0.5,10,1,0,1.0,6,5,20
The Stooges,0.4319,0.8048,0.04696999999999999,0.08024970000000001,0.34975399999999995,0.2012,0.5231999999999999,0.45099999999999996,4.1,0.5,2,1,0,1.0,7,5,20
Little Richard,0.5824,0.7346999999999999,0.08491000000000001,0.5767300000000001,0.000345642,0.12824000000000002,0.9407000000000002,0.4499999999999999,2.2,0.5,5,1,0,1.0,9,5,20
"""Howlin Wolf""",0.5609999999999999,0.46535000000000004,0.06203499999999999,0.611965,0.003020523,0.17493999999999998,0.7081000000000001,0.44399999999999995,3.2,0.55,9,1,0,1.0,6,5,20
Martha Reeves & The Vandellas,0.571,0.6443,0.05243,0.34298,0.0012084939999999998,0.25405,0.7297000000000001,0.44300000000000006,2.8,0.5,2,1,0,1.0,6,5,20
The Yardbirds,0.4232,0.6439999999999999,0.0526,0.19028199999999998,0.23089401699999995,0.11460999999999999,0.55,0.44299999999999995,2.6,0.5,0,1,0,1.0,7,5,20
Burt Bacharach,0.6386000000000001,0.3372,0.02916,0.3088,0.000558368,0.19732000000000002,0.3512,0.442,4.6,0.6,10,1,0,1.0,5,5,5
Jerry Lee Lewis,0.4803,0.7729999999999999,0.0716,0.57843,0.002077985,0.33070000000000005,0.8211,0.442,2.7,0.5,0,1,0,1.0,5,5,20
Bo Diddley,0.6614210526315789,0.6172631578947371,0.0551842105263158,0.37688421052631577,0.005023157894736842,0.1927684210526316,0.7155263157894737,0.43473684210526325,2.8947368421052633,0.5263157894736842,9,1,0,1.0,6,5,19
Justin Timberlake,0.753,0.9309999999999999,0.0652,0.009940000000000001,0.006959999999999999,0.23399999999999999,0.767,0.43,3.0,1.0,2,1,0,0.0,6,6,1
Timbaland,0.753,0.9309999999999999,0.0652,0.009940000000000001,0.006959999999999999,0.23399999999999999,0.767,0.43,3.0,0.5,2,1,0,0.0,6,6,2
Sex Pistols,0.2624,0.9320000000000002,0.11504999999999999,0.040850277,0.00047082999999999994,0.24888999999999997,0.3692000000000001,0.42899999999999994,3.4,0.5,5,1,0,0.0,7,5,20
Jackie Wilson,0.5362999999999999,0.579,0.05995999999999999,0.48752000000000006,5.214e-05,0.25129999999999997,0.7461,0.42699999999999994,3.0,0.5,5,1,0,1.0,7,5,20
Mary Wells,0.28300000000000003,0.5820000000000001,0.031,0.6509999999999999,1.23e-06,0.201,0.653,0.42,2.0,0.5,2,0,0,1.0,8,5,2
Gram Parsons,0.531,0.4344736842105263,0.02696315789473684,0.44241052631578964,0.0001926526315789474,0.135778947368421,0.4937894736842106,0.4163157894736842,4.2105263157894735,0.5263157894736842,10,1,0,1.0,6,5,19
The Shirelles,0.5554,0.5405,0.04519,0.5569,0.00016100499999999998,0.27147,0.6738000000000001,0.414,2.5,0.5,7,1,0,1.0,7,5,20
Emmylou Harris,0.5589999999999999,0.863,0.0333,0.26899999999999996,7.900000000000001e-05,0.17,0.91,0.41,4.0,0.5,9,1,0,1.0,6,5,2
The Miracles,0.529,0.6174444444444445,0.03898333333333333,0.5714111111111111,0.0029323044444444445,0.19488333333333333,0.645,0.40944444444444444,3.5555555555555554,0.5555555555555556,7,1,0,1.0,7,5,18
Johan Lindström,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Magnus Persson,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,0.5,5,1,0,0.8,5,5,2
Billy Bremner,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Mats Schubert,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Benny Andersson,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Anne Sofie von Otter,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Steve Nieve,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Svante Henryson,0.316,0.27899999999999997,0.0301,0.932,0.0,0.24,0.254,0.4,4.0,1.0,5,1,0,0.8,5,5,1
Billy Griffin,0.7290000000000001,0.771,0.06445000000000001,0.22899999999999998,0.0011835,0.058850000000000006,0.796,0.385,5.0,0.5,7,1,0,1.0,7,6,4
Bill Wyman,0.45899999999999996,0.7015,0.03445,0.08285,0.0071400000000000005,0.19799999999999998,0.587,0.38,4.0,1.0,7,1,0,1.0,5,5,2
Manfred Mann,0.575,0.938,0.0474,0.0025,4.8e-06,0.581,0.33799999999999997,0.38,4.0,0.5,6,1,0,0.0,10,6,2
The Prodigy,0.575,0.938,0.0474,0.0025,4.8e-06,0.581,0.33799999999999997,0.38,4.0,1.0,6,1,0,0.0,10,6,1
Steve Winwood,0.45899999999999996,0.7015,0.03445,0.08285,0.0071400000000000005,0.19799999999999998,0.587,0.38,4.0,1.0,7,1,0,1.0,5,5,2
Charlie Watts,0.45899999999999996,0.7015,0.03445,0.08285,0.00714,0.19799999999999998,0.587,0.38,4.0,0.5,7,1,0,1.0,5,5,4
Carl Perkins,0.5930000000000002,0.7358947368421052,0.19964736842105266,0.49484210526315797,0.0030464,0.4063052631578947,0.851315789473684,0.3752631578947368,2.526315789473684,0.5263157894736842,10,1,0,1.0,5,5,19
The Tennessee Three,0.573,0.6859999999999999,0.0487,0.606,0.0,0.726,0.7929999999999999,0.37,2.0,0.5,5,1,0,1.0,5,5,2
The Carter Sisters,0.573,0.6859999999999999,0.0487,0.606,0.0,0.726,0.7929999999999999,0.37,2.0,1.0,5,1,0,1.0,5,5,1
The Statler Brothers,0.573,0.6859999999999999,0.0487,0.606,0.0,0.726,0.7929999999999999,0.37,2.0,1.0,5,1,0,1.0,5,5,1
Mother Maybelle Carter,0.573,0.6859999999999999,0.0487,0.606,0.0,0.726,0.7929999999999999,0.37,2.0,1.0,5,1,0,1.0,5,5,1
Louis Jordan,0.6684,0.5368,0.06346,0.7335,4.302e-05,0.23503000000000002,0.7466000000000002,0.31600000000000006,3.1,0.5,9,0,0,1.0,4,5,20
The Four Tops,0.5754999999999999,0.615,0.0302,0.312,0.0,0.35650000000000004,0.851,0.265,3.0,0.5,6,1,0,1.0,7,5,4
Darlene Love,0.18,0.325,0.0318,0.865,0.0959,0.107,0.321,0.18,2.0,1.0,7,1,0,1.0,8,5,1
Bob B. Soxx & The Blue Jeans,0.18,0.325,0.0318,0.865,0.0959,0.107,0.321,0.18,2.0,1.0,7,1,0,1.0,8,5,1
The Ronettes,0.18,0.325,0.0318,0.865,0.0959,0.107,0.321,0.18,2.0,0.5,7,1,0,1.0,8,5,2
The Crystals,0.18,0.325,0.0318,0.865,0.0959,0.107,0.321,0.18,2.0,1.0,7,1,0,1.0,8,5,1
Phil Spector,0.5372631578947369,0.5668947368421051,0.05051578947368421,0.5777578947368421,0.5847325884210527,0.21363157894736842,0.695,0.05578947368421054,2.0,0.5263157894736842,5,1,0,0.0,6,5,19
