genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness
cool jazz,0.496578947368421,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947367,0.14356842105263154,0.3307894736842106,0.5721052631578948,7.263157894736842,0.5263157894736842,2,0,0,1.0,6,5
bebop,0.496578947368421,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947367,0.14356842105263154,0.3307894736842106,0.5721052631578948,7.263157894736842,0.5263157894736842,2,0,0,1.0,6,5
hard bop,0.496578947368421,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947367,0.14356842105263154,0.3307894736842106,0.5721052631578948,7.263157894736842,0.5263157894736842,2,0,0,1.0,6,5
west coast rap,0.8030111111111111,0.7218722222222222,0.22245277777777783,0.0681996111111111,0.00031703227777777785,0.19331111111111113,0.6883944444444444,0.5693888888888888,4.522222222222222,0.5555555555555556,1,1,1,0.8,5,5
skate punk,0.4828,0.8683,0.08161000000000003,0.045753899999999986,0.11131369100000003,0.11756000000000005,0.8154,0.5660000000000001,2.9,0.5,9,1,0,1.0,9,6
early us punk,0.4828,0.8683,0.08161000000000003,0.045753899999999986,0.11131369100000003,0.11756000000000005,0.8154,0.5660000000000001,2.9,0.5,9,1,0,1.0,9,6
old school hip hop,0.789436111111111,0.7467861111111112,0.2295672222222222,0.06290786111111107,0.005707863999999999,0.19686916666666665,0.6847833333333333,0.5644444444444444,4.197222222222222,0.5277777777777778,11,1,0,1.0,5,5
industrial rock,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
industrial metal,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
electronic rock,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
cyberpunk,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
alternative metal,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
nu metal,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
industrial,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5
symphonic rock,0.4457533333333334,0.5303333333333333,0.05635844444444443,0.26514035555555554,0.24808864902222222,0.19140000000000004,0.4901657777777778,0.5606888888888888,4.484444444444445,0.5111111111111111,11,1,0,1.0,6,5
art punk,0.6182500000000001,0.7139,0.071145,0.13860899999999998,0.038895095,0.16669,0.7303,0.56,4.5,0.5,2,1,0,1.0,7,5
zolo,0.6130833333333334,0.6973333333333334,0.06180111111111111,0.17085088888888889,0.12983359055555554,0.21803500000000003,0.7695444444444446,0.5592222222222223,4.761111111111111,0.5277777777777778,2,1,0,1.0,6,5
classic uk pop,0.6001000000000001,0.6649,0.049400000000000006,0.25054499999999996,0.11731724,0.14641000000000004,0.6338,0.5589999999999999,4.6,0.5,0,1,0,1.0,7,5
new romantic,0.6001000000000001,0.6649,0.049400000000000006,0.25054499999999996,0.11731724,0.14641000000000004,0.6338,0.5589999999999999,4.6,0.5,0,1,0,1.0,7,5
dance pop,0.7225,0.7724444444444445,0.053977777777777784,0.17349555555555554,0.01911839,0.16297777777777778,0.6674444444444443,0.5572222222222223,4.777777777777779,0.5555555555555556,9,1,0,0.0,6,5
supergroup,0.5008,0.5468000000000001,0.03778,0.29318,0.045529159999999985,0.28894999999999993,0.588,0.5549999999999999,4.1,0.5,0,1,0,1.0,5,5
new wave pop,0.6171098039215688,0.601921568627451,0.04615725490196079,0.25880333333333333,0.043144465588235294,0.16460039215686276,0.5993196078431373,0.5543725490196079,4.131372549019608,0.5294117647058824,1,1,0,1.0,7,5
funk rock,0.6679052631578948,0.6580771929824561,0.06515596491228069,0.26176429824561404,0.11214101543859649,0.22188228070175442,0.7137333333333333,0.5541228070175438,4.468421052631579,0.5087719298245613,10,1,0,1.0,7,5
conscious hip hop,0.7913166666666666,0.7391222222222222,0.2545722222222222,0.03148738888888887,0.0006240708888888887,0.21897777777777777,0.7004222222222221,0.5524444444444445,4.6611111111111105,0.5277777777777778,11,1,1,0.8,5,5
east coast hip hop,0.7718148148148147,0.7536148148148148,0.22012296296296294,0.07294481481481478,0.0076094173333333326,0.20415888888888886,0.6675777777777777,0.5522592592592592,4.062962962962962,0.5370370370370371,11,1,0,1.0,5,5
blues rock,0.5177984425349087,0.5930795112781956,0.061886780343716426,0.36229448000358033,0.09329535834962406,0.2061576423200859,0.6279202470461869,0.5510635517364839,3.8315968492660226,0.5241586108127462,9,1,0,1.0,6,5
adult standards,0.5587851646660512,0.5188934749153585,0.04600949215143122,0.5183163088642659,0.013493546249307478,0.19933685441674362,0.6819658048630347,0.5503200984918436,3.0874422899353644,0.510156971375808,7,1,0,1.0,6,5
gangster rap,0.7821185185185184,0.7318962962962964,0.23205,0.05552566666666666,0.0006263341111111111,0.21652592592592593,0.680411111111111,0.5475555555555555,4.588888888888889,0.5555555555555556,11,1,1,0.8,5,5
soul,0.6046479022571282,0.5827817754378023,0.060244112014041826,0.44512240620704074,0.044358280046008856,0.19794524729232468,0.7142801572955959,0.5472050059789996,3.5496961159087057,0.5142529526430456,7,1,0,1.0,6,5
outlaw country,0.6008763157894736,0.41947631578947364,0.057587105263157884,0.6746955263157893,0.034264077894736844,0.27313078947368424,0.6816684210526316,0.5432236842105262,3.2,0.5894736842105264,7,1,0,1.0,6,5
hardcore hip hop,0.8150814814814812,0.729914814814815,0.21777962962962963,0.03322048148148147,0.006461061333333333,0.2086388888888889,0.703411111111111,0.5429259259259259,4.496296296296296,0.5370370370370371,11,1,0,1.0,5,5
classic soul,0.6048932493571592,0.5270433228634357,0.05571744621293494,0.4517802939274593,0.0806687763250442,0.18039159587279888,0.6783287846238972,0.5424874089986872,3.6524921611387775,0.5128296932808211,10,1,0,1.0,6,5
funk,0.6302671909720826,0.5672662138263067,0.06095847416521101,0.3723410781391983,0.08857872527918012,0.19067808184454005,0.6867704523936101,0.5388565203859322,3.889692144800504,0.5233148230052254,10,1,0,1.0,6,5
bubblegum pop,0.56038,0.45784,0.03643400000000001,0.5928840000000001,0.013011010399999998,0.17072000000000004,0.69852,0.5386,2.54,0.5,9,1,0,1.0,6,5
southern soul,0.6361542036910457,0.47714267866636295,0.054793073593073595,0.4369886508695982,0.139227202429179,0.15746705855547963,0.6494474367737525,0.5383350041771094,3.717300827827144,0.5116959064327485,10,1,0,1.0,5,5
jazz fusion,0.5038728070175438,0.43067543859649127,0.056849269005847955,0.46916520467836265,0.1478220634502924,0.1919842105263158,0.5128391812865498,0.5357748538011697,6.242690058479532,0.5409356725146199,2,1,0,1.0,6,5
post-punk,0.57345,0.7668999999999999,0.047749999999999994,0.11158685,0.21375568499999997,0.198435,0.6837,0.535,4.199999999999999,0.5,2,1,0,1.0,7,5
jazz blues,0.5571434210526316,0.47308289473684206,0.05948842105263158,0.6322843421052631,0.00040515468421052636,0.22629894736842102,0.6084486842105263,0.5318815789473683,3.473684210526316,0.506578947368421,5,1,0,1.0,4,5
quiet storm,0.5932751879699248,0.5704190267335004,0.05115085317460317,0.37674851503759405,0.0328820371976817,0.1776235463659148,0.6892958542188805,0.5300649540517962,3.729135338345865,0.5261069340016709,7,1,0,1.0,5,5
disco,0.6235915204678363,0.6189219298245614,0.0519024074074074,0.33665613645224174,0.050496580387914235,0.17590464912280704,0.6749651072124756,0.5273352826510721,4.276413255360624,0.5136452241715399,5,1,0,1.0,5,5
traditional folk,0.5170666666666667,0.42432456140350877,0.03350105263157896,0.5212035087719298,0.004735353877192983,0.19362631578947367,0.5521631578947368,0.5244561403508773,3.7368421052631575,0.5087719298245613,7,1,0,1.0,6,5
hip house,0.8626111111111109,0.7115,0.14419444444444446,0.03668666666666666,0.01813504222222222,0.1879611111111111,0.7093888888888888,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5
queens hip hop,0.8626111111111109,0.7115,0.14419444444444446,0.03668666666666666,0.01813504222222222,0.1879611111111111,0.7093888888888888,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5
motown,0.6057089488426948,0.578114645273314,0.055972235449735445,0.41651257375055284,0.026846161210219172,0.21823398189100204,0.7101889028125871,0.5228031066227661,3.585600029485478,0.5247575638442511,7,1,0,1.0,6,5
electric blues,0.5329823057644111,0.5634259649122807,0.052435984962406014,0.39413133734335837,0.10855803764561403,0.22699873182957395,0.63554335839599,0.5216446115288221,3.8084711779448623,0.5243107769423558,9,1,0,1.0,5,5
punk,0.46759999999999996,0.8351250000000001,0.076335,0.06303846924999999,0.11907708774999999,0.18378250000000002,0.627075,0.52125,3.6,0.5,2,1,0,1.0,7,5
cosmic american,0.5630000000000001,0.5003578947368421,0.03473438596491229,0.3695535087719299,0.014784064877192983,0.2051329824561404,0.640563157894737,0.5191228070175439,3.903508771929824,0.5087719298245613,11,1,0,1.0,6,5
piano blues,0.5428368421052633,0.5318157894736841,0.06471684210526314,0.6602736842105262,0.045443657368421056,0.14726289473684212,0.7211973684210526,0.5147631578947367,3.0973684210526313,0.513157894736842,11,1,0,1.0,6,5
lounge,0.5779000000000001,0.5006,0.04074,0.570265,0.031903772,0.1524075,0.7746,0.50225,2.425,0.5,9,1,0,1.0,6,5
rock-and-roll,0.5603270102339181,0.5735192434210526,0.06156034173976608,0.5670785718201755,0.012498025701754387,0.21155592470760234,0.7596234649122805,0.5011209795321637,2.670065789473684,0.5098866959064328,9,1,0,1.0,6,5
rockabilly,0.5572022776238844,0.5846501385041551,0.06753456448137891,0.5533363204062788,0.014162181345337027,0.22285427208371805,0.7643433979686056,0.5007910126192675,2.607756232686981,0.5100030778701139,9,1,0,1.0,6,5
experimental rock,0.5111666666666667,0.6656666666666667,0.07507222222222222,0.1987777777777778,0.1819098111111111,0.24040000000000006,0.6948888888888891,0.4994444444444446,5.222222222222221,0.5555555555555556,9,1,0,1.0,6,5
instrumental rock,0.5111666666666667,0.6656666666666667,0.07507222222222222,0.1987777777777778,0.1819098111111111,0.24040000000000006,0.6948888888888891,0.4994444444444446,5.222222222222221,0.5555555555555556,9,1,0,1.0,6,5
experimental,0.5111666666666667,0.6656666666666667,0.07507222222222222,0.1987777777777778,0.1819098111111111,0.24040000000000006,0.6948888888888891,0.4994444444444446,5.222222222222221,0.5555555555555556,9,1,0,1.0,6,5
jazz rock,0.5111666666666667,0.6656666666666667,0.07507222222222222,0.1987777777777778,0.1819098111111111,0.24040000000000006,0.6948888888888891,0.4994444444444446,5.222222222222221,0.5555555555555556,9,1,0,1.0,6,5
country road,0.5840526315789475,0.3530526315789474,0.034084210526315786,0.8294210526315787,0.00018611578947368422,0.1837315789473684,0.7157368421052631,0.4989473684210526,3.0,0.5789473684210527,7,1,0,1.0,8,5
country,0.5840526315789475,0.3530526315789474,0.034084210526315786,0.8294210526315787,0.00018611578947368422,0.1837315789473684,0.7157368421052631,0.4989473684210526,3.0,0.5789473684210527,7,1,0,1.0,8,5
p funk,0.5253157894736842,0.6966315789473684,0.0781578947368421,0.3041978947368421,0.13581052631578944,0.2533368421052632,0.586,0.4973684210526314,5.105263157894737,0.5263157894736842,1,0,0,1.0,7,5
pub rock,0.6035294117647061,0.453764705882353,0.045811764705882364,0.3266000000000001,0.0003718517647058823,0.17834117647058825,0.5520588235294117,0.4941176470588236,3.294117647058824,0.5882352941176471,1,1,0,1.0,7,5
power pop,0.6035294117647061,0.453764705882353,0.045811764705882364,0.3266000000000001,0.0003718517647058823,0.17834117647058825,0.5520588235294117,0.4941176470588236,3.294117647058824,0.5882352941176471,1,1,0,1.0,7,5
chicago soul,0.5852999999999999,0.64345,0.061455,0.39814000000000005,0.033188669500000004,0.182465,0.763,0.482,4.15,0.5,11,1,0,1.0,7,5
brill building pop,0.5515956656346749,0.5537608187134504,0.045571465428276565,0.5284404059167526,0.07945260872273821,0.19899155830753354,0.7244647058823529,0.4617726178190575,2.6620915032679737,0.5063639490884073,7,1,0,1.0,6,5
new orleans blues,0.5792000000000002,0.621,0.04405999999999999,0.5606,0.09079418,0.10810999999999996,0.8835,0.4590000000000001,2.3,0.5,11,1,0,1.0,6,5
louisiana blues,0.5792000000000002,0.621,0.04405999999999999,0.5606,0.09079418,0.10810999999999996,0.8835,0.4590000000000001,2.3,0.5,11,1,0,1.0,6,5
doo-wop,0.5682499999999999,0.49615,0.04546000000000001,0.5352800000000001,0.0010302925,0.203015,0.7131000000000001,0.4575,2.45,0.5,7,1,0,1.0,7,5
instrumental funk,0.6757,0.36825,0.04442,0.3826850000000001,0.7231,0.13607000000000002,0.6593999999999999,0.45399999999999996,3.5,0.5,10,1,0,1.0,6,5
instrumental soul,0.6757,0.36825,0.04442,0.3826850000000001,0.7231,0.13607000000000002,0.6593999999999999,0.45399999999999996,3.5,0.5,10,1,0,1.0,6,5
chicago blues,0.5880292397660819,0.5108456558061824,0.06642068922305765,0.5356608479532163,0.009645541250626567,0.21299804511278195,0.6958278195488722,0.4526775271512114,3.2538011695906435,0.5333751044277361,9,1,0,1.0,6,5
blues,0.5880292397660819,0.5108456558061824,0.06642068922305765,0.5356608479532163,0.009645541250626567,0.21299804511278195,0.6958278195488722,0.4526775271512114,3.2538011695906435,0.5333751044277361,9,1,0,1.0,6,5
traditional blues,0.5880292397660819,0.5108456558061824,0.06642068922305765,0.5356608479532164,0.009645541250626565,0.2129980451127819,0.6958278195488722,0.4526775271512114,3.2538011695906435,0.5333751044277361,9,1,0,1.0,6,5
garage rock,0.4319,0.8048,0.04696999999999999,0.08024970000000001,0.34975399999999995,0.2012,0.5231999999999999,0.451,4.1,0.5,2,1,0,1.0,7,5
punk blues,0.4319,0.8048,0.04696999999999999,0.08024970000000001,0.34975399999999995,0.2012,0.5231999999999999,0.451,4.1,0.5,2,1,0,1.0,7,5
acoustic blues,0.5609999999999999,0.4653500000000001,0.062034999999999986,0.611965,0.003020523,0.17493999999999998,0.7081,0.445,3.2,0.55,9,1,0,1.0,6,5
delta blues,0.5609999999999999,0.4653500000000001,0.062034999999999986,0.611965,0.003020523,0.17493999999999998,0.7081,0.445,3.2,0.55,9,1,0,1.0,6,5
harmonica blues,0.5609999999999999,0.4653500000000001,0.062034999999999986,0.611965,0.003020523,0.17493999999999998,0.7081,0.445,3.2,0.55,9,1,0,1.0,6,5
memphis blues,0.5609999999999999,0.4653500000000001,0.062034999999999986,0.611965,0.003020523,0.17493999999999998,0.7081,0.445,3.2,0.55,9,1,0,1.0,6,5
british blues,0.4232,0.644,0.0526,0.190282,0.23089401699999995,0.11461,0.55,0.443,2.6,0.5,0,1,0,1.0,7,5
classic girl group,0.5632,0.5924,0.04881,0.4499400000000001,0.0006847494999999999,0.26276,0.7017500000000001,0.42950000000000005,2.65,0.5,7,1,0,1.0,7,5
alternative country,0.531,0.4344736842105264,0.026963157894736845,0.4424105263157895,0.00019265263157894742,0.13577894736842105,0.4937894736842105,0.4173684210526316,4.2105263157894735,0.5263157894736842,10,1,0,1.0,6,5
rhythm and blues,0.6001442105263158,0.5789126315789475,0.05357084210526316,0.5430808421052632,0.01921470057894737,0.21173568421052633,0.7531052631578946,0.41116842105263157,2.758947368421053,0.5052631578947369,9,1,0,1.0,7,5
swing,0.6684,0.5368,0.06346,0.7335,4.302e-05,0.23503,0.7466000000000002,0.3170000000000001,3.1,0.5,9,0,0,1.0,4,5
